agent_id,in_degree,out_degree,engine_isolated,external_support_role,unused_configured_node
noise_exposure_index_r12_proxy,3,0,False,,False
occ_bus,0,2,False,,False
occ_car,0,2,False,,False
occ_met,0,2,False,,False
occ_mot,0,1,False,,False
occ_oth,0,2,False,,False
occ_tax,0,2,False,,False
online_taxi_active,0,3,False,,False
operating_condition_factor_r12_vs_city,2,1,False,,False
opex_BRT_EV_IRR_km_base,0,1,False,,False
opex_BRT_IRR_km_base,0,1,False,,False
opex_BRT_IRR_km_indexed,5,2,False,,False
opex_bus_EV_IRR_km_base,0,1,False,,False
opex_bus_IRR_km_base,0,1,False,,False
opex_bus_IRR_km_indexed,5,2,False,,False
opex_car_EV_IRR_km_base,0,1,False,,False
opex_car_IRR_km_base,0,1,False,,False
opex_car_IRR_km_indexed,4,1,False,,False
opex_metro_IRR_km_base,0,1,False,,False
opex_metro_IRR_km_indexed,2,2,False,,False
opex_parking_structure_IRR_per_space_base,0,1,False,,False
opex_parking_structure_IRR_per_space_indexed,2,0,False,,False
opex_taxi_EV_IRR_km_base,0,1,False,,False
opex_taxi_IRR_km_base,0,1,False,,False
opex_taxi_IRR_km_indexed,4,1,False,,False
parking_r12,2,6,False,,False
parking_supply_multiplier_r12,0,5,False,,False
parking_supply_multiplier_r12_base,0,4,False,,False
parking_tot,0,1,False,,False
pce_bus,0,2,False,,False
pce_car,0,2,False,,False
pce_mot,0,2,False,,False
pce_oth,0,2,False,,False
pce_tax,0,2,False,,False
pkm_bus,2,1,False,,False
pkm_car,2,1,False,,False
pkm_metro,2,1,False,,False
pkm_metro_r12,3,1,False,,False
pkm_motorcycle,2,1,False,,False
pkm_other,2,1,False,,False
pkm_taxi,2,1,False,,False
pkm_total,2,3,False,,False
policy_norm_denom_city,12,6,False,,False
policy_norm_denom_r12,12,6,False,,False
pop_r12,2,3,False,,False
pop_r12_obs,0,1,False,,False
population_0_14,0,2,False,,False
population_15_64,0,2,False,,False
population_65_plus,0,2,False,,False
population_city,4,19,False,,False
private_car_ownership_rate,2,0,False,,False
private_cars_total,2,3,False,,False
pt_bus_service_index,3,8,False,,False
pt_cost_to_effective_budget_ratio,2,0,False,,False
pt_cost_to_effective_budget_ratio_r12_alloc,2,0,False,,False
public_investment_rate_transport,0,2,False,,False
r12_speed_factor,0,5,False,,False
r12_voc_multiplier,0,1,False,,False
region12_municipal_budget_share_of_tehran,0,2,False,,False
region12_traffic_plan_revenue_attribution_share,0,1,False,,False
respiratory_admission_rate_base,0,1,False,,False
respiratory_admissions,4,1,False,,False
revenue_transport_public_IRR_year,2,3,False,,False
revenue_transport_public_IRR_year_r12_alloc,5,3,False,,False
rhc_affordability_ratio,2,0,False,,False
rhc_driver_revenue_IRR_year,2,0,False,,False
rhc_expenditure_per_person_IRR_year,2,1,False,,False
rhc_fare_rate,0,1,False,,False
rhc_platform_commission_share,0,1,False,,False
rhc_trips_per_person_year,2,1,False,,False
road_capacity_PCE_km_hour,2,2,False,,False
road_capacity_PCE_km_hour_r12,3,1,False,,False
share_CAPEX_bike_infra,0,2,False,,False
share_CAPEX_brt_infra,0,2,False,,False
share_CAPEX_infra_total,4,0,False,,False
share_CAPEX_metro_infra,0,2,False,,False
share_CAPEX_road,0,2,False,,False
share_brt_bus_EV,0,2,False,,False
share_brt_bus_diesel,0,2,False,,False
share_bus_EV,0,9,False,,False
share_bus_diesel,0,3,False,,False
share_car_CNG,0,4,False,,False
share_car_EV,0,10,False,,False
share_car_gasoline,2,1,False,,False
share_motorcycle_EV,0,8,False,,False
share_motorcycle_gasoline,1,1,False,,False
share_rhc_of_taxi,0,1,False,,False
share_taxi_CNG,2,3,False,,False
share_taxi_CNG_nonEV,0,2,False,,False
share_taxi_EV,0,11,False,,False
share_taxi_gasoline,2,1,False,,False
share_trips_city_tfp,0,1,False,,False
share_vkm_car_city_tfp,2,0,False,,False
share_vkm_car_r12_city,2,0,False,,False
share_vkm_motorized_r12_city,2,2,False,,False
spd_bus,4,1,False,,False
spd_bus_freeflow,0,4,False,,False
spd_bus_freeflow_base,0,2,False,,False
spd_bus_freeflow_r12,2,1,False,,False
spd_bus_history_calibration_factor,0,1,False,,False
spd_bus_r12,3,1,False,,False
spd_car,5,2,False,,False
spd_car_city_calibration_factor,0,1,False,,False
spd_car_freeflow,0,2,False,,False
spd_car_freeflow_r12,2,1,False,,False
spd_car_history_calibration_factor,0,1,False,,False
spd_car_r12,3,2,False,,False
spd_met,0,3,False,,False
spd_met_base,0,2,False,,False
spd_mot,4,1,False,,False
spd_mot_freeflow,0,2,False,,False
spd_mot_freeflow_r12,2,1,False,,False
spd_mot_history_calibration_factor,0,2,False,,False
spd_mot_r12,4,1,False,,False
spd_oth,3,1,False,,False
spd_oth_freeflow,0,2,False,,False
spd_oth_freeflow_r12,2,1,False,,False
spd_oth_r12,3,1,False,,False
spd_tax,3,1,False,,False
spd_tax_freeflow,0,2,False,,False
spd_tax_freeflow_r12,2,1,False,,False
spd_tax_r12,3,1,False,,False
system_cost_per_pkm_IRR,2,0,False,,False
system_cost_transport_IRR_year,6,1,False,,False
taxi_purchases_vehicles_year,0,2,False,,False
taxi_retirements_vehicles_year,0,1,False,,False
taxis_total,2,1,False,,False
telework_rate_effective,0,1,False,,False
telework_trip_multiplier,2,5,False,,False
time_loss_car_hours_year,3,1,False,,False
time_loss_car_hours_year_r12,4,1,False,,False
traffic_condition_factor_r12_vs_city,2,2,False,,False
traffic_plan_fee_IRR_trip,2,1,False,,False
traffic_plan_fee_IRR_trip_base,0,1,False,,False
traffic_plan_fee_behavior_IRR_trip,2,12,False,,False
traffic_plan_fee_behavior_base_IRR_trip,0,1,False,,False
traffic_plan_fee_multiplier,0,6,False,,False
traffic_plan_fee_multiplier_base,0,4,False,,False
traffic_plan_revenue_IRR_year,4,4,False,,False
traffic_plan_revenue_IRR_year_obs,0,1,False,,False
traffic_plan_revenue_IRR_year_r12_alloc,2,3,False,,False
traffic_plan_revenue_collection_factor,0,6,False,,False
