draw,scenario,geo,metric,mean_2024_2030,value_2030,base_mean,base_2030,delta_mean_pct,delta_2030_pct
0,SC11,Tehran,Modal share: car,0.5303138474052028,0.5125000252904564,0.5817412048880106,0.5811209900774272,-8.840246668225596,-11.808378282434434
0,SC11,Tehran,Modal share: public transport,0.1505301713896056,0.1640803664096677,0.1031646492904233,0.103886516929721,45.91255088343445,57.94192668974328
0,SC11,Tehran,NOₓ emissions,59949.26411240742,58336.628615385824,65324.36988224275,67522.18533836934,-8.228331600480468,-13.603761011218102
0,SC11,Tehran,PM₂.₅ emissions,1050.509105284956,1016.368220795754,1155.679954631423,1199.766584376915,-9.100343821400696,-15.286170324239096
0,SC11,Tehran,Time loss (car),804155917.0813248,776904780.7910645,951841374.0675474,1019167835.850917,-15.515763551558132,-23.770673145074657
0,SC11,Tehran,PCE-weighted VKT,68521313355.25005,68508209837.51614,72969335680.97835,75867908912.25446,-6.095741840346514,-9.700674738841451
0,SC11,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,63.87869652292867,142.92185698706032,0.0,0.0
0,SC11,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,29.51624016041301,60.18207770689028,0.0,0.0
0,SC11,Tehran,STOCK::cost_index_bus_fare,73.20148381975896,138.2037519536843,84.36487247380374,169.56239313950334,-13.23227111794798,-18.49386565334654
0,SC11,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467,45.68752260248281,85.07059173023467,0.0,0.0
0,SC11,Tehran,STOCK::len_bik,942.1264620910188,1279.6121453740336,941.660883050843,1278.6481875338736,0.049442325635033,0.07538882466327
0,SC11,Tehran,STOCK::len_brt,154.26881632653323,147.0150000000056,145.8321428571453,133.6500000000051,5.785194747945485,10.000000000000009
0,SC11,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,2678.5357142857,2865.749999999971,0.0,0.0
0,SC11,Tehran,STOCK::len_met,329.4582482993224,371.175,320.3214285714312,353.5,2.852391040037361,5.000000000000004
