draw,scenario,geo,metric,mean_2024_2030,value_2030,block_label
0,SC8,Tehran,PCE-weighted VKT,70368156589.27846,70797706447.9845,empirical_2019
0,SC8,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,empirical_2019
0,SC8,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,empirical_2019
0,SC8,Tehran,STOCK::cost_index_bus_fare,60.26793001761512,106.36159228555996,empirical_2019
0,SC8,Tehran,STOCK::cost_index_metro_fare,35.161126476087375,58.82076106461197,empirical_2019
0,SC8,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736,empirical_2019
0,SC8,Tehran,STOCK::len_brt,145.8321428571453,133.6500000000051,empirical_2019
0,SC8,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,empirical_2019
0,SC8,Tehran,STOCK::len_met,320.3214285714312,353.5,empirical_2019
0,SC8,Tehran,STOCK::population_city,10218586.123954205,10588811.226821598,empirical_2019
0,SC8,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086,empirical_2019
0,SC8,Tehran,STOCK::taxis_total,78784.0,78784.0,empirical_2019
0,SC8,Tehran,STOCK::metro_cars_total,1181.0,1181.0,empirical_2019
0,SC8,Tehran,STOCK::brts_total,942.0,942.0,empirical_2019
0,SC8,Tehran,STOCK::buses_total,2047.0,2047.0,empirical_2019
0,SC8,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,empirical_2019
0,SC8,Tehran,STOCK::transport_financial_balance_IRR,-4091209148678895.0,-8346386647116090.0,empirical_2019
1,SC0,Region 12,CO₂ emissions,210733.64383346256,213413.44455389923,sign_reversed_2019
1,SC0,Region 12,Congestion index,1.1495041380599331,1.1760629654632626,sign_reversed_2019
1,SC0,Region 12,Electricity use,72167126.57754266,74092515.38602754,sign_reversed_2019
1,SC0,Region 12,Final energy,2868010378.932976,2900618652.6708174,sign_reversed_2019
1,SC0,Region 12,Health indicator,370362448804982.0,377843355112581.8,sign_reversed_2019
1,SC0,Region 12,Modal share: car,0.184494993399728,0.1817242862780302,sign_reversed_2019
1,SC0,Region 12,Modal share: public transport,0.4183832294693166,0.4188448057811935,sign_reversed_2019
1,SC0,Region 12,NOₓ emissions,827.4235181165384,839.8395362849049,sign_reversed_2019
1,SC0,Region 12,PM₂.₅ emissions,27.48359099392473,28.1852383737304,sign_reversed_2019
1,SC0,Region 12,Time loss (car),50181698.87014218,52542706.31768455,sign_reversed_2019
1,SC0,Region 12,PCE-weighted VKT,906854326.64193,923473810.8371348,sign_reversed_2019
1,SC0,Tehran,CO₂ emissions,15665697.81572652,16240057.050506642,sign_reversed_2019
1,SC0,Tehran,Congestion index,0.3770323163615883,0.3857434952814182,sign_reversed_2019
1,SC0,Tehran,Electricity use,1182955242.1630168,1351056074.0400765,sign_reversed_2019
1,SC0,Tehran,Final energy,232409741325.56155,240375712306.20767,sign_reversed_2019
1,SC0,Tehran,Health indicator,1.1659816348439046e+16,1.2277016654798512e+16,sign_reversed_2019
1,SC0,Tehran,Modal share: car,0.5135831336588798,0.5121961394099438,sign_reversed_2019
1,SC0,Tehran,Modal share: public transport,0.15013834799003,0.1516049037254507,sign_reversed_2019
1,SC0,Tehran,NOₓ emissions,59608.039255991294,61622.4101806796,sign_reversed_2019
1,SC0,Tehran,PM₂.₅ emissions,1080.8241813028667,1122.4332118372024,sign_reversed_2019
1,SC0,Tehran,Time loss (car),760835557.6647456,814037935.3659447,sign_reversed_2019
1,SC0,Tehran,PCE-weighted VKT,67427298392.317055,70096465282.90355,sign_reversed_2019
1,SC0,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,sign_reversed_2019
1,SC0,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,sign_reversed_2019
1,SC0,Tehran,STOCK::cost_index_bus_fare,84.36487247380374,169.56239313950334,sign_reversed_2019
1,SC0,Tehran,STOCK::cost_index_metro_fare,45.68752260248281,85.07059173023467,sign_reversed_2019
1,SC0,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736,sign_reversed_2019
1,SC0,Tehran,STOCK::len_brt,145.8321428571453,133.6500000000051,sign_reversed_2019
1,SC0,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,sign_reversed_2019
1,SC0,Tehran,STOCK::len_met,320.3214285714312,353.5,sign_reversed_2019
1,SC0,Tehran,STOCK::population_city,10244877.404216949,10617364.467096915,sign_reversed_2019
1,SC0,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086,sign_reversed_2019
1,SC0,Tehran,STOCK::taxis_total,78784.0,78784.0,sign_reversed_2019
1,SC0,Tehran,STOCK::metro_cars_total,1181.0,1181.0,sign_reversed_2019
1,SC0,Tehran,STOCK::brts_total,942.0,942.0,sign_reversed_2019
1,SC0,Tehran,STOCK::buses_total,2047.0,2047.0,sign_reversed_2019
1,SC0,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,sign_reversed_2019
1,SC0,Tehran,STOCK::transport_financial_balance_IRR,-4702982273271233.0,-9474733173462972.0,sign_reversed_2019
1,SC10,Region 12,CO₂ emissions,204345.40497966213,204160.17734916048,sign_reversed_2019
1,SC10,Region 12,Congestion index,1.0725600565490676,1.0705911481901231,sign_reversed_2019
1,SC10,Region 12,Electricity use,82862567.00523056,86653939.28696817,sign_reversed_2019
1,SC10,Region 12,Final energy,2714511412.0064,2691934198.794387,sign_reversed_2019
1,SC10,Region 12,Health indicator,347733511580297.6,341678524254833.8,sign_reversed_2019
1,SC10,Region 12,Modal share: car,0.1717740900063471,0.1676250569092131,sign_reversed_2019
1,SC10,Region 12,Modal share: public transport,0.4616220591359654,0.4655025064523048,sign_reversed_2019
1,SC10,Region 12,NOₓ emissions,728.7463231758586,679.472946498499,sign_reversed_2019
1,SC10,Region 12,PM₂.₅ emissions,22.0393768551081,19.403820438356497,sign_reversed_2019
1,SC10,Region 12,Time loss (car),42050667.4860538,41981154.15591641,sign_reversed_2019
1,SC10,Region 12,PCE-weighted VKT,856072625.7394756,866091432.486309,sign_reversed_2019
1,SC10,Tehran,CO₂ emissions,14644175.017960398,14731772.937919931,sign_reversed_2019
1,SC10,Tehran,Congestion index,0.3517949950490103,0.3511492017415331,sign_reversed_2019
1,SC10,Tehran,Electricity use,1591585747.3360565,1883797999.79803,sign_reversed_2019
1,SC10,Tehran,Final energy,214905880389.5389,214758708596.52325,sign_reversed_2019
1,SC10,Tehran,Health indicator,1.1134230133449478e+16,1.1435539780492354e+16,sign_reversed_2019
1,SC10,Tehran,Modal share: car,0.4592542227226349,0.4486047643978719,sign_reversed_2019
1,SC10,Tehran,Modal share: public transport,0.2121366390910945,0.2224541536873643,sign_reversed_2019
1,SC10,Tehran,NOₓ emissions,54253.19943094154,53275.09084415159,sign_reversed_2019
1,SC10,Tehran,PM₂.₅ emissions,970.680630216833,936.9716439907892,sign_reversed_2019
1,SC10,Tehran,Time loss (car),634847915.3504606,635701701.9850394,sign_reversed_2019
1,SC10,Tehran,PCE-weighted VKT,62903575113.36684,63810065834.1299,sign_reversed_2019
1,SC10,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032,sign_reversed_2019
1,SC10,Tehran,STOCK::cost_index_rhc_fare,29.51624016041301,60.18207770689028,sign_reversed_2019
1,SC10,Tehran,STOCK::cost_index_bus_fare,60.26793001761512,106.36159228555996,sign_reversed_2019
1,SC10,Tehran,STOCK::cost_index_metro_fare,35.161126476087375,58.82076106461197,sign_reversed_2019
1,SC10,Tehran,STOCK::len_bik,941.660883050843,1278.6481875338736,sign_reversed_2019
1,SC10,Tehran,STOCK::len_brt,154.26881632653323,147.0150000000056,sign_reversed_2019
1,SC10,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971,sign_reversed_2019
1,SC10,Tehran,STOCK::len_met,329.4582482993224,371.175,sign_reversed_2019
1,SC10,Tehran,STOCK::population_city,10248777.154881196,10626763.357924484,sign_reversed_2019
1,SC10,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086,sign_reversed_2019
1,SC10,Tehran,STOCK::taxis_total,78784.0,78784.0,sign_reversed_2019
1,SC10,Tehran,STOCK::metro_cars_total,1182.2600000000002,1184.36,sign_reversed_2019
1,SC10,Tehran,STOCK::brts_total,963.0217687074846,999.0376190476236,sign_reversed_2019
1,SC10,Tehran,STOCK::buses_total,2107.78877551022,2206.368571428616,sign_reversed_2019
1,SC10,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354,sign_reversed_2019
1,SC10,Tehran,STOCK::transport_financial_balance_IRR,-5577538915594254.0,-1.1917439403278034e+16,sign_reversed_2019
1,SC11,Region 12,CO₂ emissions,204683.44810046715,201931.1764444307,sign_reversed_2019
1,SC11,Region 12,Congestion index,1.065239578362987,1.0407607019203111,sign_reversed_2019
1,SC11,Region 12,Electricity use,79382702.48683581,84443379.06849968,sign_reversed_2019
1,SC11,Region 12,Final energy,2736838460.603967,2668997260.5887585,sign_reversed_2019
1,SC11,Region 12,Health indicator,349462509594723.2,341001511824823.7,sign_reversed_2019
