scenario,geo,metric,effect,n,median,p05,p25,p75,p95,min,max,sign_fraction,all_same_direction,span90
SC10,Region 12,Electricity use,delta_2030_pct,32,18.4969565351422,16.664270298318502,17.251243091587295,20.07718598094582,23.17434062661489,15.684890693129374,23.279433785350072,1.0,True,6.51007032829639
SC10,Region 12,Final energy,delta_mean_pct,32,-4.778664318743635,-5.077465850008191,-4.9496717015766905,-4.686118975341312,-4.169754881321863,-5.233046535780424,-3.936389950669921,1.0,True,0.9077109686863284
SC10,Region 12,Final energy,delta_2030_pct,32,-6.46513848401608,-6.851474439249423,-6.703830360306964,-6.271942679774458,-5.666468876905626,-7.032150256522415,-5.392943455489967,1.0,True,1.1850055623437967
SC10,Region 12,Health indicator,delta_mean_pct,32,-5.526892335138342,-6.0802482663387645,-5.804377748323473,-5.339998068511808,-4.881181766580558,-6.266430977042224,-4.605176922354675,1.0,True,1.1990664997582066
SC10,Region 12,Health indicator,delta_2030_pct,32,-8.752735784449474,-9.60228314144662,-9.06287499995183,-8.33493796507025,-7.610761187452923,-9.84622709739928,-7.135731627949676,1.0,True,1.9915219539936988
SC10,Region 12,Modal share: car,delta_mean_pct,32,-5.859378791681873,-6.55032478708553,-6.168888787819693,-5.5853584422910405,-4.973108714716248,-6.873151187305758,-4.707418762874792,1.0,True,1.577216072369282
SC10,Region 12,Modal share: car,delta_2030_pct,32,-6.558153544682097,-7.53619678502652,-6.944743454027387,-6.253112558692598,-5.722289212946546,-7.774954355568062,-5.527092421497738,1.0,True,1.813907572079974
SC10,Region 12,Modal share: public transport,delta_mean_pct,32,11.89754603230296,11.002979988936968,11.545865848774463,12.343453747181623,13.341554051726536,10.645152946956363,14.197346175174497,1.0,True,2.338574062789567
SC10,Region 12,Modal share: public transport,delta_2030_pct,32,12.839916354635472,11.88821601303342,12.450807677646347,13.465571919840189,15.024627535544,11.46737810169628,16.135447337645687,1.0,True,3.1364115225105813
SC10,Region 12,NOₓ emissions,delta_mean_pct,32,-11.49866916908804,-12.312406190128508,-11.792841144456649,-10.934720334521815,-9.578649444734074,-12.900406713499097,-9.343742531943509,1.0,True,2.733756745394434
SC10,Region 12,NOₓ emissions,delta_2030_pct,32,-18.34131648831923,-19.942536228703474,-19.03305658320509,-17.571719544173963,-15.4756363010617,-20.58995968686618,-15.096234519211508,1.0,True,4.466899927641775
