scenario,geo,metric,effect,n,median,p05,p25,p75,p95,min,max,sign_fraction,all_same_direction,span90
SC5,Tehran,STOCK::population_city,delta_2030_pct,8,0.044897874700885,0.0377840572116065,0.0402605255689772,0.0464683628557219,0.0491334703252476,0.0371227688660518,0.0499679043736001,1.0,True,0.011349413113641
SC5,Tehran,STOCK::private_cars_total,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::private_cars_total,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::taxis_total,delta_mean_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::taxis_total,delta_2030_pct,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,True,0.0
SC5,Tehran,STOCK::transport_financial_balance_IRR,delta_mean_pct,8,-10.654812159128326,-12.18414866916655,-11.369920894382282,-9.13817359684332,-7.805667177124098,-12.40692340063372,-7.54754017299532,1.0,True,4.378481492042452
SC5,Tehran,STOCK::transport_financial_balance_IRR,delta_2030_pct,8,-15.064031402804344,-16.73773403483467,-15.73752217419634,-12.652928295437256,-10.881642377230238,-17.030302896444066,-10.527841985512154,1.0,True,5.856091657604432
SC5,Tehran,Time loss (car),delta_mean_pct,8,-11.547478290077574,-13.801211962680496,-12.978342716226036,-9.761510996849768,-9.155972523164074,-14.03506366087615,-9.019359644866055,1.0,True,4.645239439516423
SC5,Tehran,Time loss (car),delta_2030_pct,8,-16.249750883890552,-19.189042868650088,-17.834473252831966,-13.407726817236638,-12.464238129699456,-19.552197473500858,-12.27794981946473,1.0,True,6.724804738950631
SC5,Tehran,PCE-weighted VKT,delta_mean_pct,8,-4.408301238033177,-5.410900399654004,-5.1017056712930735,-3.673150376011843,-3.460502886346895,-5.52526367356426,-3.4003836683455315,1.0,True,1.950397513307109
SC5,Tehran,PCE-weighted VKT,delta_2030_pct,8,-6.358774095600009,-7.665300635419447,-7.1314853360526005,-5.19673227522199,-4.841219056156126,-7.839054874096876,-4.757164423984253,1.0,True,2.8240815792633214
SC6,Region 12,CO₂ emissions,delta_mean_pct,8,-0.5778212389151349,-0.8554511992639504,-0.7027117249937528,-0.4871796472783524,-0.3541388761958903,-0.9170732616717412,-0.3242014971119794,1.0,True,0.5013123230680601
SC6,Region 12,CO₂ emissions,delta_2030_pct,8,-0.7466424708612689,-1.0895700325448332,-0.9074684132828762,-0.6060207885731581,-0.4532473576951037,-1.1609882968501315,-0.418509652504963,1.0,True,0.6363226748497295
SC6,Region 12,Congestion index,delta_mean_pct,8,-3.1345868803332086,-4.240290832843862,-3.519336741273433,-2.657508414720552,-2.1412794582896213,-4.342072470021394,-2.0987804833071952,1.0,True,2.099011374554241
SC6,Region 12,Congestion index,delta_2030_pct,8,-4.707872967406149,-6.2099337953408975,-5.279821095246843,-3.9150589255502015,-3.1856953956870817,-6.364668755398489,-3.125895094665145,1.0,True,3.024238399653816
SC6,Region 12,Electricity use,delta_mean_pct,8,-0.9156971496037252,-1.3529564423957736,-1.1170416638743588,-0.7124771991907795,-0.5499730978653442,-1.46153399214366,-0.5105912359452394,1.0,True,0.8029833445304294
SC6,Region 12,Electricity use,delta_2030_pct,8,-1.0562126343048417,-1.4911518621367978,-1.2582489334370794,-0.7752753735925018,-0.6254148680534809,-1.589330611688297,-0.6038448331537991,1.0,True,0.865736994083317
SC6,Region 12,Final energy,delta_mean_pct,8,-0.5569860399953103,-0.8212952017166436,-0.6680666401604348,-0.4781649235975252,-0.3420248497910302,-0.8773472225866128,-0.3124110335047113,1.0,True,0.4792703519256133
SC6,Region 12,Final energy,delta_2030_pct,8,-0.7241466288094645,-1.0656641997901293,-0.8805996334549884,-0.6016790410997804,-0.4412319282868527,-1.1337733302530546,-0.402612728139998,1.0,True,0.6244322715032765
SC6,Region 12,Health indicator,delta_mean_pct,8,-4.007439785151751,-4.5903355927722655,-4.4455198091617545,-3.641699477958564,-3.523167924976495,-4.609511028879562,-3.5198518009560216,1.0,True,1.0671676677957709
SC6,Region 12,Health indicator,delta_2030_pct,8,-7.042498534761313,-8.01956885667431,-7.963762592741904,-6.3466961995282345,-6.229417250560931,-8.044886354149458,-6.229047697927359,1.0,True,1.7901516061133789
SC6,Region 12,Modal share: car,delta_mean_pct,8,-0.8298944522967314,-1.2255294261257337,-1.0037638570987983,-0.6887163327871284,-0.5015660508995944,-1.3239628979706424,-0.4652940084180796,1.0,True,0.7239633752261391
SC6,Region 12,Modal share: car,delta_2030_pct,8,-1.0084673710142271,-1.4370218254007978,-1.207240774000105,-0.7558314911013235,-0.5998699149460184,-1.5319912522514922,-0.5758437148349133,1.0,True,0.8371519104547794
SC6,Region 12,Modal share: public transport,delta_mean_pct,8,1.5941440787218522,1.117182669678004,1.285781106432097,1.8529604971448763,2.023673668287965,1.081911011360154,2.0974577775261456,1.0,True,0.9064909986099604
SC6,Region 12,Modal share: public transport,delta_2030_pct,8,1.869072216404772,1.312326835825155,1.485311676207468,2.1388727568944748,2.223558817274013,1.2536104201460505,2.267325757317892,1.0,True,0.911231981448858
SC6,Region 12,NOₓ emissions,delta_mean_pct,8,-8.672358332709136,-9.51111599759712,-8.954051214623483,-8.36330544481531,-7.816480933449638,-9.721971231515951,-7.598106728265416,1.0,True,1.694635064147482
SC6,Region 12,NOₓ emissions,delta_2030_pct,8,-15.993973608563,-17.63159556634243,-16.544038387094737,-15.380514753119158,-14.36174204840796,-18.05483188361309,-13.945128489618064,1.0,True,3.26985351793447
