draw,scenario,geo,metric,mean_2024_2030,value_2030
28,SC3,Tehran,STOCK::len_brt,145.8321428571453,133.6500000000051
28,SC3,Tehran,STOCK::len_hwy,2678.5357142857,2865.749999999971
28,SC3,Tehran,STOCK::len_met,320.3214285714312,353.5
28,SC3,Tehran,STOCK::population_city,10218788.51357404,10585130.13680248
28,SC3,Tehran,STOCK::private_cars_total,4192415.099736402,4343924.107633086
28,SC3,Tehran,STOCK::taxis_total,78784.0,78784.0
28,SC3,Tehran,STOCK::metro_cars_total,1181.0,1181.0
28,SC3,Tehran,STOCK::brts_total,942.0,942.0
28,SC3,Tehran,STOCK::buses_total,2047.0,2047.0
28,SC3,Tehran,STOCK::motorcycles_total,325417.6086656498,337177.8227351354
28,SC3,Tehran,STOCK::transport_financial_balance_IRR,-3641771335952089.0,-7197075054040740.0
28,SC4,Region 12,CO₂ emissions,265843.1871242338,270080.73207001487
28,SC4,Region 12,Congestion index,1.2402375344079986,1.2700567182008982
28,SC4,Region 12,Electricity use,59222051.912483886,60550127.699735895
28,SC4,Region 12,Final energy,3759193769.73451,3818703294.897194
28,SC4,Region 12,Health indicator,405749365476171.7,414242462711767.7
28,SC4,Region 12,Modal share: car,0.2842627279060357,0.2827702668321817
28,SC4,Region 12,Modal share: public transport,0.2851212619424449,0.2815837361094685
28,SC4,Region 12,NOₓ emissions,1042.2231209743218,1061.343463209386
28,SC4,Region 12,PM₂.₅ emissions,30.66604621446846,31.54692945724205
28,SC4,Region 12,Time loss (car),86991705.21503004,92106652.907104
28,SC4,Region 12,PCE-weighted VKT,1161401783.204429,1188811139.1130924
28,SC4,Tehran,CO₂ emissions,17575750.229336068,18229034.28372894
28,SC4,Tehran,Congestion index,0.4067924724704664,0.4165730339884301
28,SC4,Tehran,Electricity use,1538073599.1790943,1730201462.1825657
28,SC4,Tehran,Final energy,258427471721.1369,267434870616.8557
28,SC4,Tehran,Health indicator,1.221281257327025e+16,1.2859928991171992e+16
28,SC4,Tehran,Modal share: car,0.59646006603666,0.5962537257810191
28,SC4,Tehran,Modal share: public transport,0.127259229538452,0.1274082640097838
28,SC4,Tehran,NOₓ emissions,65943.02393452042,68200.21325358392
28,SC4,Tehran,PM₂.₅ emissions,1178.88584030256,1224.3821507871148
28,SC4,Tehran,Time loss (car),972563809.99742,1043279002.8878086
28,SC4,Tehran,PCE-weighted VKT,72750205991.23817,75698741707.77861
28,SC4,Tehran,STOCK::inflation_index_effective,63.87869652292867,142.92185698706032
