Scenario,year,Geo,delta_display,annot,annot_mode,kpi
SC0,2027,Region 12,0.0,0.0,pct,PT subsidy need
SC0,2028,Region 12,0.0,0.0,pct,PT subsidy need
SC0,2029,Region 12,0.0,0.0,pct,PT subsidy need
SC0,2030,Region 12,0.0,0.0,pct,PT subsidy need
SC1,2024,Region 12,0.0,0.0,pct,PT subsidy need
SC1,2025,Region 12,0.0,0.0,pct,PT subsidy need
SC1,2026,Region 12,1.022462731741298,1.022462731741298,pct,PT subsidy need
SC1,2027,Region 12,0.08925460877215013,0.08925460877215013,pct,PT subsidy need
SC1,2028,Region 12,1.4402196419662336,1.4402196419662336,pct,PT subsidy need
SC1,2029,Region 12,1.415772258818498,1.415772258818498,pct,PT subsidy need
SC1,2030,Region 12,1.7561293239236189,1.7561293239236189,pct,PT subsidy need
SC10,2024,Region 12,17.9099839082515,17.9099839082515,pct,PT subsidy need
SC10,2025,Region 12,20.768122899125395,20.768122899125395,pct,PT subsidy need
SC10,2026,Region 12,22.834122197604863,22.834122197604863,pct,PT subsidy need
SC10,2027,Region 12,25.54820752135583,25.54820752135583,pct,PT subsidy need
SC10,2028,Region 12,27.513282715741987,27.513282715741987,pct,PT subsidy need
SC10,2029,Region 12,28.57714241875683,28.57714241875683,pct,PT subsidy need
SC10,2030,Region 12,30.02478933805272,30.02478933805272,pct,PT subsidy need
SC11,2024,Region 12,10.6076405692534,10.6076405692534,pct,PT subsidy need
SC11,2025,Region 12,11.307916425059448,11.307916425059448,pct,PT subsidy need
SC11,2026,Region 12,14.174247668874193,14.174247668874193,pct,PT subsidy need
SC11,2027,Region 12,15.687493756833733,15.687493756833733,pct,PT subsidy need
SC11,2028,Region 12,19.605972727718157,19.605972727718157,pct,PT subsidy need
SC11,2029,Region 12,20.884061773667426,20.884061773667426,pct,PT subsidy need
SC11,2030,Region 12,23.24296792942046,23.24296792942046,pct,PT subsidy need
SC2,2024,Region 12,0.0,0.0,pct,PT subsidy need
SC2,2025,Region 12,0.0,0.0,pct,PT subsidy need
SC2,2026,Region 12,1.1918138829151002,1.1918138829151002,pct,PT subsidy need
SC2,2027,Region 12,0.9077305059872984,0.9077305059872984,pct,PT subsidy need
SC2,2028,Region 12,1.973298744132754,1.973298744132754,pct,PT subsidy need
SC2,2029,Region 12,2.3596332113424383,2.3596332113424383,pct,PT subsidy need
SC2,2030,Region 12,3.5586838086604557,3.5586838086604557,pct,PT subsidy need
SC3,2024,Region 12,0.0,0.0,pct,PT subsidy need
SC3,2025,Region 12,0.0,0.0,pct,PT subsidy need
SC3,2026,Region 12,0.5512377147975498,0.5512377147975498,pct,PT subsidy need
SC3,2027,Region 12,0.5436389712649617,0.5436389712649617,pct,PT subsidy need
SC3,2028,Region 12,1.1691738179382005,1.1691738179382005,pct,PT subsidy need
SC3,2029,Region 12,1.1809676853030766,1.1809676853030766,pct,PT subsidy need
SC3,2030,Region 12,1.8912547196400797,1.8912547196400797,pct,PT subsidy need
SC4,2024,Region 12,9.337301905867724,9.337301905867724,pct,PT subsidy need
SC4,2025,Region 12,11.354785186513697,11.354785186513697,pct,PT subsidy need
SC4,2026,Region 12,12.797745685051737,12.797745685051737,pct,PT subsidy need
SC4,2027,Region 12,13.977129239546592,13.977129239546592,pct,PT subsidy need
SC4,2028,Region 12,13.852486691959895,13.852486691959895,pct,PT subsidy need
SC4,2029,Region 12,14.367565408331892,14.367565408331892,pct,PT subsidy need
SC4,2030,Region 12,14.690518409849743,14.690518409849743,pct,PT subsidy need
SC5,2024,Region 12,5.108837821734548,5.108837821734548,pct,PT subsidy need
SC5,2025,Region 12,4.861089963322188,4.861089963322188,pct,PT subsidy need
SC5,2026,Region 12,4.4772349544049295,4.4772349544049295,pct,PT subsidy need
SC5,2027,Region 12,4.9979055289120025,4.9979055289120025,pct,PT subsidy need
SC5,2028,Region 12,5.83329299908308,5.83329299908308,pct,PT subsidy need
SC5,2029,Region 12,5.694902825733207,5.694902825733207,pct,PT subsidy need
SC5,2030,Region 12,5.507362904464997,5.507362904464997,pct,PT subsidy need
SC6,2024,Region 12,3.585329408356313,3.585329408356313,pct,PT subsidy need
SC6,2025,Region 12,3.808448968045048,3.808448968045048,pct,PT subsidy need
SC6,2026,Region 12,2.816586390625325,2.816586390625325,pct,PT subsidy need
SC6,2027,Region 12,2.6693669424842916,2.6693669424842916,pct,PT subsidy need
SC6,2028,Region 12,2.8615803909959396,2.8615803909959396,pct,PT subsidy need
SC6,2029,Region 12,2.7363567616222806,2.7363567616222806,pct,PT subsidy need
SC6,2030,Region 12,2.5905294852217726,2.5905294852217726,pct,PT subsidy need
SC7,2024,Region 12,5.6945609073538535,5.6945609073538535,pct,PT subsidy need
SC7,2025,Region 12,6.837163978371851,6.837163978371851,pct,PT subsidy need
SC7,2026,Region 12,8.66295846347943,8.66295846347943,pct,PT subsidy need
SC7,2027,Region 12,10.671177962753882,10.671177962753882,pct,PT subsidy need
SC7,2028,Region 12,13.406538682051739,13.406538682051739,pct,PT subsidy need
SC7,2029,Region 12,16.072287752424845,16.072287752424845,pct,PT subsidy need
SC7,2030,Region 12,19.587078413838732,19.587078413838732,pct,PT subsidy need
SC8,2024,Region 12,13.226317249290986,13.226317249290986,pct,PT subsidy need
SC8,2025,Region 12,16.01159944561452,16.01159944561452,pct,PT subsidy need
SC8,2026,Region 12,17.455588736065987,17.455588736065987,pct,PT subsidy need
SC8,2027,Region 12,18.409975751399884,18.409975751399884,pct,PT subsidy need
SC8,2028,Region 12,19.109987970618004,19.109987970618004,pct,PT subsidy need
SC8,2029,Region 12,19.399989551408233,19.399989551408233,pct,PT subsidy need
SC8,2030,Region 12,20.001488105005986,20.001488105005986,pct,PT subsidy need
SC9,2024,Region 12,9.983400414648795,9.983400414648795,pct,PT subsidy need
SC9,2025,Region 12,11.223214281389252,11.223214281389252,pct,PT subsidy need
