Scenario,year,Geo,delta_display,annot,annot_mode,kpi
SC11,2025,Tehran,-0.7559381159817665,-0.7559381159817665,pct,Health indicator
SC11,2026,Tehran,-3.955345376292965,-3.955345376292965,pct,Health indicator
SC11,2027,Tehran,-5.15395375146616,-5.15395375146616,pct,Health indicator
SC11,2028,Tehran,-5.967016042767638,-5.967016042767638,pct,Health indicator
SC11,2029,Tehran,-6.5463344148771405,-6.5463344148771405,pct,Health indicator
SC11,2030,Tehran,-7.148838155350797,-7.148838155350797,pct,Health indicator
SC2,2024,Tehran,0.0,0.0,pct,Health indicator
SC2,2025,Tehran,0.0,0.0,pct,Health indicator
SC2,2026,Tehran,0.1178288977640112,0.1178288977640112,pct,Health indicator
SC2,2027,Tehran,-0.3694595145854343,-0.3694595145854343,pct,Health indicator
SC2,2028,Tehran,-0.322750380374528,-0.322750380374528,pct,Health indicator
SC2,2029,Tehran,-0.5818118267362733,-0.5818118267362733,pct,Health indicator
SC2,2030,Tehran,-0.6684597009492689,-0.6684597009492689,pct,Health indicator
SC3,2024,Tehran,0.0,0.0,pct,Health indicator
SC3,2025,Tehran,0.0,0.0,pct,Health indicator
SC3,2026,Tehran,0.02129582544659124,0.02129582544659124,pct,Health indicator
SC3,2027,Tehran,-0.07038458138252868,-0.07038458138252868,pct,Health indicator
SC3,2028,Tehran,-0.0454549747593115,-0.0454549747593115,pct,Health indicator
SC3,2029,Tehran,-0.1492712579344549,-0.1492712579344549,pct,Health indicator
SC3,2030,Tehran,-0.12087718056739022,-0.12087718056739022,pct,Health indicator
SC4,2024,Tehran,0.049545530288541154,0.049545530288541154,pct,Health indicator
SC4,2025,Tehran,-0.48629647887538063,-0.48629647887538063,pct,Health indicator
SC4,2026,Tehran,-0.5153803882808997,-0.5153803882808997,pct,Health indicator
SC4,2027,Tehran,-0.49251889163646834,-0.49251889163646834,pct,Health indicator
SC4,2028,Tehran,-0.4864879742035787,-0.4864879742035787,pct,Health indicator
SC4,2029,Tehran,-0.41309646703259884,-0.41309646703259884,pct,Health indicator
