panel_metric,scenario,geo,p05,p25,median,p75,p95,frozen_central_2030
Health indicator,SC1,Region 12,-2.081882533795464,-1.8775825530082328,-1.7506813848687974,-1.724263158325193,-1.7038601721887503,-1.7329101092288828
Health indicator,SC2,Tehran,-0.7734599174806298,-0.7000367780669506,-0.6723913468834141,-0.6415659996671257,-0.6138618211921585,-0.6684597009492688
Health indicator,SC2,Region 12,-1.088591432318726,-1.0144704598113374,-0.975753814288876,-0.9414304616913243,-0.8936713785824426,-0.970310330741206
Health indicator,SC3,Tehran,-0.13437625183351182,-0.12592291575201114,-0.12177693071561255,-0.11661348761184095,-0.11062617904142728,-0.1208771805673902
Health indicator,SC3,Region 12,-0.4442664999484128,-0.4289332198568829,-0.4075708215610435,-0.39697889347800297,-0.3736355519635859,-0.4134565905904257
Health indicator,SC4,Tehran,-0.5862318893544761,-0.4890846972712568,-0.42727195206966573,-0.3762187477110416,-0.34036685962124824,-0.41301329498526707
Health indicator,SC4,Region 12,-1.0327479330839577,-0.9759003870262424,-0.8914603491394442,-0.8486564056037205,-0.7733850630704214,-0.868124258194125
Health indicator,SC5,Tehran,-3.6897314180896186,-3.402260770399863,-3.150387358608187,-2.9967132213009675,-2.668987773335976,-3.2153341382054617
Health indicator,SC5,Region 12,-3.6072760493870173,-3.32813388270145,-3.0949200908028205,-2.912356172320699,-2.6677422439421825,-3.1027550224229454
Health indicator,SC6,Tehran,-6.151385106573165,-5.475003913615749,-5.081219838012121,-4.931138248857055,-4.328895045706201,-5.243193206608563
Health indicator,SC6,Region 12,-8.106259648271378,-7.605152801055774,-7.3201742592626236,-6.823113081657841,-6.254636284910097,-7.151544622561464
Health indicator,SC7,Tehran,-1.4359503317793816,-1.3366629488101442,-1.187155868185808,-1.1038255530872252,-0.9718505094465468,-1.1985855827621066
Health indicator,SC7,Region 12,-2.443190003604858,-2.2001345875690195,-2.109686580111463,-1.9016333428114913,-1.7260080070774424,-2.0064734702459557
Health indicator,SC8,Tehran,-7.736353371307792,-7.135448165745395,-6.825269316335451,-6.616158484965029,-6.060442515017701,-6.906180879682498
Health indicator,SC8,Region 12,-8.935762348436826,-8.332905284101868,-8.20832866800017,-7.874781210143477,-7.39161671768631,-8.125444818006503
Health indicator,SC9,Tehran,-5.639946105818864,-5.283412297894724,-4.999269063030306,-4.705135541155657,-4.308379245575301,-4.990879231832785
Health indicator,SC9,Region 12,-6.772483884066872,-6.3938003228462,-6.204349082649743,-5.876493138186618,-5.50291520842586,-6.114429057472103
Health indicator,SC10,Tehran,-6.994542632438783,-6.462730175138848,-6.047781429150082,-5.8509196783611666,-5.200016655473747,-6.14372929566974
Health indicator,SC10,Region 12,-9.602283141446623,-9.06287499995183,-8.752735784449474,-8.33493796507025,-7.610761187452923,-8.569701683102554
Health indicator,SC11,Tehran,-7.951271905138912,-7.429013817114426,-7.08039956071043,-6.852935896749573,-6.257969177793424,-7.148838155350796
Health indicator,SC11,Region 12,-9.73169835073342,-9.210000211654078,-8.967377857165804,-8.66563807736905,-8.04807325644827,-8.856183803598316
Transport financial balance stock,SC1,Tehran,-1.3277233090463614,-0.5419539720550277,0.0776064894568695,0.25038163559549664,0.31712019817884807,0.01875349957110125
Transport financial balance stock,SC2,Tehran,-1.8145173247071178,-1.5791463121823301,-1.4400373852707342,-1.2713362819353589,-1.0860651086314126,-1.352329035764197
Transport financial balance stock,SC3,Tehran,-0.27663322664887213,-0.2450266581912386,-0.22655124314523795,-0.20028430850506707,-0.16992301512611208,-0.21596728962488104
Transport financial balance stock,SC4,Tehran,-4.819501788900476,-4.3208682071481785,-3.5208421190215464,-3.2079022402067627,-2.790266377912509,-3.411092316059073
Transport financial balance stock,SC5,Tehran,-18.925840084113442,-17.149676614916302,-14.971033188112981,-12.497839743379918,-10.829265207387675,-15.450677963303075
Transport financial balance stock,SC6,Tehran,-18.770140287610257,-16.660271866438258,-14.328850737980876,-11.182639817793547,-9.232774310193522,-14.698147334029384
Transport financial balance stock,SC7,Tehran,-6.0163797346218955,-4.541739143414452,-3.6841931820186122,-2.676235533761001,-2.0235765771712777,-3.580133365038909
Transport financial balance stock,SC8,Tehran,-24.086338979097548,-21.539556584814303,-18.618698676071606,-15.399699908149678,-12.841904924113088,-19.182724888753036
Transport financial balance stock,SC9,Tehran,-23.854613325039452,-21.68478559316974,-19.11053970474962,-16.464218875402086,-14.30873899641393,-19.67249286758126
Transport financial balance stock,SC10,Tehran,-28.60079522833555,-25.89636526672533,-22.47567854933248,-19.243758762958265,-16.623788554838377,-23.165050108812594
Transport financial balance stock,SC11,Tehran,-26.316667808985002,-23.634470778863015,-20.392297815803296,-17.13100106812075,-14.381668477266983,-21.03413988142342
