scenario,geo,group,kpi,unit,value_2030
SC5,Tehran,secondary,Non-public transport trips,trips/year,6573977835.625793
SC5,Region12,main,PM₂.₅ emissions,t/year,29.103405452879095
SC5,Tehran,main,PM₂.₅ emissions,t/year,1146.0354730537292
SC5,Region12,secondary,Population,persons,249861.9999999996
SC5,Tehran,secondary,Population,persons,10601861.279844653
SC5,Region12,secondary,Public transport trips,trips/year,116122096.46109517
SC5,Tehran,secondary,Public transport trips,trips/year,1358864867.0179682
SC5,Region12,main,Time loss (car),hours/year,59189792.82364063
SC5,Tehran,main,Time loss (car),hours/year,821710419.3931627
SC5,Region12,secondary,Trips total (effective),trips/year,317530056.8112662
SC5,Tehran,secondary,Trips total (effective),trips/year,7932842702.643762
SC5,Region12,main,PCE-weighted VKT,PCE-km/year,1002522890.203808
SC5,Tehran,main,PCE-weighted VKT,PCE-km/year,69763860383.57434
SC6,Region12,main,CO₂ emissions,t/year,231943.37547547853
SC6,Tehran,main,CO₂ emissions,t/year,16575940.901778717
SC6,Region12,main,Climate cost,IRR/year,3479150632132.178
SC6,Tehran,main,Climate cost,IRR/year,248639113526680.72
SC6,Region12,main,Congestion index,–,1.190180205720281
SC6,Tehran,main,Congestion index,–,0.3903738881773672
SC6,Region12,main,Electricity use,kWh/year,72874012.91963902
SC6,Tehran,main,Electricity use,kWh/year,1433752903.99366
SC6,Region12,secondary,Energy: CNG,MJ/year,496269182.07831943
SC6,Tehran,secondary,Energy: CNG,MJ/year,30986105665.27639
SC6,Region12,secondary,Energy: diesel,MJ/year,89304594.4887046
SC6,Tehran,secondary,Energy: diesel,MJ/year,2059098413.8546543
SC6,Region12,secondary,Energy: gasoline,MJ/year,2344660810.849805
SC6,Tehran,secondary,Energy: gasoline,MJ/year,206387046222.1961
SC6,Region12,main,Final energy,MJ/year,3192581033.92753
SC6,Tehran,main,Final energy,MJ/year,244593760755.7043
SC6,Region12,main,Health indicator,IRR/year,367397382105382.75
SC6,Tehran,main,Health indicator,IRR/year,1.2052966702962604e+16
SC6,Region12,main,Modal share: car,–,0.2089222500390256
SC6,Tehran,main,Modal share: car,–,0.5274062850027167
SC6,Region12,main,Modal share: public transport,–,0.3494409455680689
SC6,Tehran,main,Modal share: public transport,–,0.1561098987788966
SC6,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC6,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC6,Region12,main,NOₓ emissions,t/year,764.1730171206533
SC6,Tehran,main,NOₓ emissions,t/year,60162.832915876024
SC6,Region12,secondary,Non-public transport trips,trips/year,206572053.5128547
SC6,Tehran,secondary,Non-public transport trips,trips/year,6695804334.013246
SC6,Region12,main,PM₂.₅ emissions,t/year,19.3675716797455
SC6,Tehran,main,PM₂.₅ emissions,t/year,1000.3832259402733
SC6,Region12,secondary,Population,persons,249861.9999999996
SC6,Tehran,secondary,Population,persons,10604010.179276496
SC6,Region12,secondary,Public transport trips,trips/year,110958003.29841149
SC6,Tehran,secondary,Public transport trips,trips/year,1238646282.630392
SC6,Region12,main,Time loss (car),hours/year,61528269.64786241
SC6,Tehran,main,Time loss (car),hours/year,851467575.0825945
SC6,Region12,secondary,Trips total (effective),trips/year,317530056.8112662
SC6,Tehran,secondary,Trips total (effective),trips/year,7934450616.643638
SC6,Region12,main,PCE-weighted VKT,PCE-km/year,1018185711.2603158
SC6,Tehran,main,PCE-weighted VKT,PCE-km/year,70937890164.5864
SC7,Region12,main,CO₂ emissions,t/year,228191.7901433608
SC7,Tehran,main,CO₂ emissions,t/year,17390254.383961663
SC7,Region12,main,Climate cost,IRR/year,3422876852150.412
SC7,Tehran,main,Climate cost,IRR/year,260853815759424.9
SC7,Region12,main,Congestion index,–,1.2499178846822208
SC7,Tehran,main,Congestion index,–,0.4099675849091581
SC7,Region12,main,Electricity use,kWh/year,86408213.7701747
SC7,Tehran,main,Electricity use,kWh/year,1888808621.6676488
SC7,Region12,secondary,Energy: CNG,MJ/year,334838674.3422273
SC7,Tehran,secondary,Energy: CNG,MJ/year,23652063720.350094
SC7,Region12,secondary,Energy: diesel,MJ/year,49673825.7221645
SC7,Tehran,secondary,Energy: diesel,MJ/year,676575129.394161
SC7,Region12,secondary,Energy: gasoline,MJ/year,2351098826.9285445
SC7,Tehran,secondary,Energy: gasoline,MJ/year,222130798699.9305
SC7,Region12,main,Final energy,MJ/year,3046680896.565566
SC7,Tehran,main,Final energy,MJ/year,253259148587.6783
SC7,Region12,main,Health indicator,IRR/year,387756209448524.25
SC7,Tehran,main,Health indicator,IRR/year,1.2567436561819962e+16
SC7,Region12,main,Modal share: car,–,0.2108869508831757
SC7,Tehran,main,Modal share: car,–,0.5719353527432628
SC7,Region12,main,Modal share: public transport,–,0.34329626366188504
SC7,Tehran,main,Modal share: public transport,–,0.122537237362431
SC7,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC7,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC7,Region12,main,NOₓ emissions,t/year,858.5958963863105
SC7,Tehran,main,NOₓ emissions,t/year,64847.508633453326
SC7,Region12,secondary,Non-public transport trips,trips/year,208523174.7076124
SC7,Tehran,secondary,Non-public transport trips,trips/year,6958442874.274901
SC7,Region12,main,PM₂.₅ emissions,t/year,29.22934120886559
SC7,Tehran,main,PM₂.₅ emissions,t/year,1181.6721539770845
SC7,Region12,secondary,Population,persons,249861.9999999996
SC7,Tehran,secondary,Population,persons,10598310.661794318
SC7,Region12,secondary,Public transport trips,trips/year,109006882.10365377
SC7,Tehran,secondary,Public transport trips,trips/year,971743078.4126961
SC7,Region12,main,Time loss (car),hours/year,67003161.078092456
SC7,Tehran,main,Time loss (car),hours/year,981015532.7564744
SC7,Region12,secondary,Trips total (effective),trips/year,317530056.8112662
SC7,Tehran,secondary,Trips total (effective),trips/year,7930185952.687597
SC7,Region12,main,PCE-weighted VKT,PCE-km/year,1024877151.3236004
SC7,Tehran,main,PCE-weighted VKT,PCE-km/year,74498413931.09016
SC8,Region12,main,CO₂ emissions,t/year,226188.55506432045
SC8,Tehran,main,CO₂ emissions,t/year,15677535.425485792
SC8,Region12,main,Climate cost,IRR/year,3392828325964.8066
SC8,Tehran,main,Climate cost,IRR/year,235163031382286.88
SC8,Region12,main,Congestion index,–,1.1233410511699131
SC8,Tehran,main,Congestion index,–,0.3684509385946825
SC8,Region12,main,Electricity use,kWh/year,78038796.03403813
SC8,Tehran,main,Electricity use,kWh/year,1492080635.5311265
SC8,Region12,secondary,Energy: CNG,MJ/year,477881766.34241545
SC8,Tehran,secondary,Energy: CNG,MJ/year,29440453087.936966
SC8,Region12,secondary,Energy: diesel,MJ/year,96649700.11069605
SC8,Tehran,secondary,Energy: diesel,MJ/year,2205974636.081914
SC8,Region12,secondary,Energy: gasoline,MJ/year,2224825871.52948
SC8,Tehran,secondary,Energy: gasoline,MJ/year,193718648753.50958
SC8,Region12,main,Final energy,MJ/year,3080297003.7051287
SC8,Tehran,main,Final energy,MJ/year,230736566765.4405
SC8,Region12,main,Health indicator,IRR/year,363543700525178.8
SC8,Tehran,main,Health indicator,IRR/year,1.1841436410529878e+16
SC8,Region12,main,Modal share: car,–,0.1953743951537558
SC8,Tehran,main,Modal share: car,–,0.511648890830073
SC8,Region12,main,Modal share: public transport,–,0.37535025606753103
SC8,Tehran,main,Modal share: public transport,–,0.1729918229067526
SC8,Region12,secondary,Municipal budget,IRR/year,44970517380498.805
SC8,Tehran,secondary,Municipal budget,IRR/year,5692470554493519.0
SC8,Region12,main,NOₓ emissions,t/year,785.5672104851573
SC8,Tehran,main,NOₓ emissions,t/year,57654.094745014365
SC8,Region12,secondary,Non-public transport trips,trips/year,190907128.60259402
SC8,Tehran,secondary,Non-public transport trips,trips/year,6317129891.384541
SC8,Region12,main,PM₂.₅ emissions,t/year,22.646616632364964
SC8,Tehran,main,PM₂.₅ emissions,t/year,1002.6945372972713
SC8,Region12,secondary,Population,persons,249861.9999999996
SC8,Tehran,secondary,Population,persons,10606266.60217042
SC8,Region12,secondary,Public transport trips,trips/year,114715551.0782497
